SPCD,COMMON_NAME,GENUS,SPECIES,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,QUEBEC_NAME
230,yew spp.,Taxus,spp.,1,,,TAXUS,9,24,2,18,220,X,,X,,,,S,,,,,,E,W,,2,,,2/24/2005,333,,3/19/2008,333,N,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.6,23,0.59,23,98,23,47,23,0.67,23,4,21,0.12667,0.914,0.11975,
231,Pacific yew,Taxus,brevifolia,1,,,TABR2,24,24,2,18,40,,,X,X,,X,S,,,X,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.6,12,0.59,7,98.28814,7,46.9,7,0.67,12,4,30,0.12667,0.914,0.11975,
232,Florida yew,Taxus,floridana,1,,,TAFL,9,24,2,18,39,,,,,X,,S,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.6,24,0.59,24,98,24,47,24,0.67,24,4,24,0.12667,0.914,0.11975,
240,thuja spp.,Thuja,spp.,1,,,THUJA,9,24,2,16,220,X,,X,,,,S,,,,,,E,W,,2,,,2/24/2005,333,,3/19/2008,333,N,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.3,23,0.4,23,73.5,23,69.5,23,0.32,23,12.47,21,0.12667,0.914,0.11975,
241,northern white-cedar,Thuja,occidentalis,1,,,THOC2,9,9,2,16,60,X,X,,,X,X,S,X,X,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.29,1,0.42,3,90.78571,22,98.93103,8,0.31,1,14,35,0.12667,0.914,0.11975,THO
242,western redcedar,Thuja,plicata,1,,,THPL,22,22,2,18,11,,,X,X,,X,S,,,X,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.7049,0.31,1,0.37,4,55.91892,18,39.58065,4,0.32,1,10.6,27,0.12667,0.914,0.11975,
250,torreya (nutmeg) spp.,Torreya,spp.,1,,,TORRE,9,24,2,18,220,,,X,,,,S,,,,,,E,W,,2,,,2/24/2005,333,,3/19/2008,333,N,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.12667,0.914,0.11975,
251,California torreya (nutmeg),Torreya,californica,1,,,TOCA,24,24,2,18,40,,,X,,,,S,,,,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.12667,0.914,0.11975,
252,Florida torreya (nutmeg),Torreya,taxifolia,1,,,TOTA,9,9,2,18,39,,,,,X,,S,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.12667,0.914,0.11975,
260,hemlock spp.,Tsuga,spp.,1,,,TSUGA,7,7,2,17,220,X,X,,,X,,S,,,,,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.62759,0.41,23,0.46,23,97.67,23,78.33,23,0.43,23,16.18,21,0.12667,0.914,0.11975,
